Image,Colony,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Colony,Colony,Colony,Colony,Colony,WellObjects,WellObjects,WellObjects,WellObjects
ImageNumber,ObjectNumber,Metadata_DateTime,Metadata_FileLocation,Metadata_Frame,Metadata_PixelScale,Metadata_Plate,Metadata_Probability,Metadata_Series,Metadata_WellColumn,FileName_BF,FileName_BFProbability,FileName_OrigOverlay,PathName_BF,PathName_BFProbability,PathName_OrigOverlay,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_ColonyBeforeFilling,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3723.502072,47.75685687,0,1,1,3699.992231,3699.331918,0,1
1,2,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3184.065858,56.25476603,0,2,2,nan,nan,nan,nan
1,3,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,2418.531494,293.3265602,0,3,3,nan,nan,nan,nan
1,4,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3965.026571,176.08273,0,4,4,nan,nan,nan,nan
1,5,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3352.082595,211.0573814,0,5,5,nan,nan,nan,nan
1,6,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3612.26782,96.09806345,0,6,6,nan,nan,nan,nan
1,7,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4421.462588,172.6333971,0,7,7,nan,nan,nan,nan
1,8,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3035.135968,147.9212994,0,8,8,nan,nan,nan,nan
1,9,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3734.403399,474.1589717,0,9,9,nan,nan,nan,nan
1,10,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3576.613297,173.9423338,0,10,10,nan,nan,nan,nan
1,11,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3097.99387,208.4079494,0,11,11,nan,nan,nan,nan
1,12,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,2980.28168,216.4789307,0,12,12,nan,nan,nan,nan
1,13,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,5331.442738,563.3600744,0,13,13,nan,nan,nan,nan
1,14,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4530.120601,230.1862568,0,14,14,nan,nan,nan,nan
1,15,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,2880.356831,250.242623,0,15,15,nan,nan,nan,nan
1,16,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4412.23483,550.0371201,0,16,16,nan,nan,nan,nan
1,17,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4696.078135,264.6505701,0,17,17,nan,nan,nan,nan
1,18,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4360.897954,285.4783735,0,18,18,nan,nan,nan,nan
1,19,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,2794.197047,300.4226069,0,19,19,nan,nan,nan,nan
1,20,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,2662.619537,305.4646296,0,20,20,nan,nan,nan,nan
1,21,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4623.844642,325.1098009,0,21,21,nan,nan,nan,nan
1,22,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3516.84571,301.1596098,0,22,22,nan,nan,nan,nan
1,23,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4928.82401,397.9584197,0,23,23,nan,nan,nan,nan
1,24,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A1_Ch1_-1um_RescaleAndCrop_outlines.png,,,,2962.293019,326.0220839,0,24,24,nan,nan,nan,nan
