Image,Colony,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Colony,Colony,Colony,Colony,Colony,WellObjects,WellObjects,WellObjects,WellObjects
ImageNumber,ObjectNumber,Metadata_DateTime,Metadata_FileLocation,Metadata_Frame,Metadata_PixelScale,Metadata_Plate,Metadata_Probability,Metadata_Series,Metadata_WellColumn,FileName_BF,FileName_BFProbability,FileName_OrigOverlay,PathName_BF,PathName_BFProbability,PathName_OrigOverlay,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_ColonyBeforeFilling,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3872.858538,169.9035067,0,1,1,3700.029055,3700.646583,0,1
1,2,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3698.907402,699.3090513,0,2,2,nan,nan,nan,nan
1,3,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_outlines.png,,,,2954.708259,120.2387868,0,3,3,nan,nan,nan,nan
1,4,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4601.73774,193.6437278,0,4,4,nan,nan,nan,nan
1,5,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4459.253258,173.5616171,0,5,5,nan,nan,nan,nan
1,6,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_outlines.png,,,,2170.142825,401.8711921,0,6,6,nan,nan,nan,nan
1,7,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_outlines.png,,,,5179.37718,615.3116246,0,7,7,nan,nan,nan,nan
1,8,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3383.76714,336.855995,0,8,8,nan,nan,nan,nan
1,9,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_outlines.png,,,,2540.61135,263.0941531,0,9,9,nan,nan,nan,nan
1,10,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4318.255335,379.7213839,0,10,10,nan,nan,nan,nan
1,11,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_outlines.png,,,,2733.594193,304.1012885,0,11,11,nan,nan,nan,nan
1,12,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_outlines.png,,,,2462.891588,328.3702204,0,12,12,nan,nan,nan,nan
1,13,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4562.209501,494.2175248,0,13,13,nan,nan,nan,nan
1,14,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_outlines.png,,,,2677.67116,620.5164505,0,14,14,nan,nan,nan,nan
1,15,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4697.110731,427.6621005,0,15,15,nan,nan,nan,nan
1,16,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B3_Ch1_-1um_RescaleAndCrop_outlines.png,,,,2241.730472,409.7352407,0,16,16,nan,nan,nan,nan
