Image,Colony,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Colony,Colony,Colony,Colony,Colony,WellObjects,WellObjects,WellObjects,WellObjects
ImageNumber,ObjectNumber,Metadata_DateTime,Metadata_FileLocation,Metadata_Frame,Metadata_PixelScale,Metadata_Plate,Metadata_Probability,Metadata_Series,Metadata_WellColumn,FileName_BF,FileName_BFProbability,FileName_OrigOverlay,PathName_BF,PathName_BFProbability,PathName_OrigOverlay,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_ColonyBeforeFilling,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3146.2835,163.6899458,0,1,1,3699.681652,3700.613914,0,1
1,2,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3977.180984,266.6638017,0,2,2,nan,nan,nan,nan
1,3,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4306.665778,91.83016682,0,3,3,nan,nan,nan,nan
1,4,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3440.706145,68.48435754,0,4,4,nan,nan,nan,nan
1,5,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3631.643059,332.3378113,0,5,5,nan,nan,nan,nan
1,6,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3475.565977,115.9346701,0,6,6,nan,nan,nan,nan
1,7,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4402.990547,146.3756679,0,7,7,nan,nan,nan,nan
1,8,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4707.547857,170.1512038,0,8,8,nan,nan,nan,nan
1,9,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4342.306594,312.5308347,0,9,9,nan,nan,nan,nan
1,10,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,2232.017537,318.0138348,0,10,10,nan,nan,nan,nan
1,11,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4704.332023,342.9560393,0,11,11,nan,nan,nan,nan
1,12,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3307.301536,297.6839127,0,12,12,nan,nan,nan,nan
1,13,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,2565.260324,336.6358368,0,13,13,nan,nan,nan,nan
1,14,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3012.406053,304.1261034,0,14,14,nan,nan,nan,nan
1,15,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,2263.698215,343.3607306,0,15,15,nan,nan,nan,nan
1,16,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,2377.404493,387.7363621,0,16,16,nan,nan,nan,nan
1,17,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3345.990603,380.865734,0,17,17,nan,nan,nan,nan
1,18,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_A2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3134.968522,704.1073415,0,18,18,nan,nan,nan,nan
