Image,Colony,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Colony,Colony,Colony,Colony,Colony,WellObjects,WellObjects,WellObjects,WellObjects
ImageNumber,ObjectNumber,Metadata_DateTime,Metadata_FileLocation,Metadata_Frame,Metadata_PixelScale,Metadata_Plate,Metadata_Probability,Metadata_Series,Metadata_WellColumn,FileName_BF,FileName_BFProbability,FileName_OrigOverlay,PathName_BF,PathName_BFProbability,PathName_OrigOverlay,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_ColonyBeforeFilling,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3865.605064,493.8651865,0,1,1,3700.667647,3699.902795,0,1
1,2,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3275.212738,64.3427831,0,2,2,nan,nan,nan,nan
1,3,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4303.719409,73.15400844,0,3,3,nan,nan,nan,nan
1,4,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,2820.423461,229.5842322,0,4,4,nan,nan,nan,nan
1,5,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4746.012172,313.4882422,0,5,5,nan,nan,nan,nan
1,6,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3357.983,146.1429291,0,6,6,nan,nan,nan,nan
1,7,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3865.218158,150.5133899,0,7,7,nan,nan,nan,nan
1,8,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,3161.154948,168.9617558,0,8,8,nan,nan,nan,nan
1,9,,,0,,,,0,,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop_Probabilities.tiff,3500005261_Scan_11-26-2022-8-49-06-AM_Well_B2_Ch1_-1um_RescaleAndCrop_outlines.png,,,,4403.848881,310.620413,0,9,9,nan,nan,nan,nan
